# Every library live on Libby. Tab separated: key, name, region, kind, places.
# Written by tools/seed_libraries.py, loaded into the database at startup.
1stsfgroup	1SFG (A)		public	1st special forces group
401go	401GO, Inc.		company	company
aamu	Alabama A&M University	USA	college
aarplibrary	AARP (staff)		company
aaschool	Architectural Association School of Architecture	United Kingdom	college
abashiri-library	Abashiri City Library	Japan	public
abc	Australian Broadcasting Corporation	Australia	company	abc reference
abclibrary	Appalachian Bible College	USA	college
abdulhameed	Abdul Hameed Shoman Public Library		public
aberdeenshirelibraries	Live Life Aberdeenshire Libraries	United Kingdom	public	aberchirder aboyne alford ballater balmedie banchory banff boddam cairnbulg cruden bay ellon fraserburgh huntly insch inverbervie inverurie kemnay kintore macduff mearns mintlaw new pitsligo newmachar newtonhill oldmeldrum peterhead portlethen rosehearty stonehaven strichen turriff westhill
abilene	Abilene PL & Tom Green CL		public
abilenetx	Abilene Public Library	USA	public	daniels recreation sears
abo	Akershus, Buskerud and Østfold County Library		public	fylkesbiblioteket
accairo	American Center Cairo - US Embassy Egypt	USA	company
accuro	Accuro		company
acj	Allegheny County Bureau of Corrections		company
acla	Carnegie Library of Pittsburgh		public	acla allegheny association andrew bayne avalon baldwin bethel park braddock turtle creek brentwood bridgeville mellor edgewood forest hills swissvale homestead mckeesport duquesne white oak clp museum natural history clairton beechview brookline carrick downtown business liberty hazelwood hill homewood knoxville lawrenceville washington sheraden side squirrel end woods run valley harrison castle shannon cooper siegel coraopolis crafton dormont eastridge einetwork sto rox green tree hampton jefferson for blind physically handicapped place mills lincoln oakland millvale monroeville moon lebanon versailles northern tier northland oakmont penn pleasant plum robinson scott sewickley shaler sharpsburg fayette twp springdale upper clair western whitehall wilkinsburg
acld	Apache County Library District		public	alpine concho greer round valley sanders johns vernon
aclib	Alachua County Library District	USA	public	archer cone park hawthorne high springs jail partnership micanopy millhopper newberry tower road waldo
aclibrary	Alameda County Library		public
acls	Atlantic County Library System		public	absecon brigantine buena reading egg harbor galloway hammonton pleasantville somers point ventnor
acmetool	Acme Construction Supply		company
acpl	Allen County Public Library	IN, USA	public	aboite dupont georgetown grabill hessen cassel little turtle monroeville new haven pontiac shawnee tecumseh waynedale woodburn
act	Libraries ACT	Australia	public	heritage belconnen civic dickson erindale gungahlin kingston kippax tuggeranong woden
actscollege	ACTS College		college
adamslibrary	Adams County Library System		public
adbank	Asian Development Bank		company
adf	ADF		company
adl	Alaska Digital Library	USA	public	adak anchorage aniak cantwell capital centennial chiniak chukchi consortium selawik davis ramoth coffman cove cooper landing copper valley cordova craig delta dermott otoole tenakee springs dillingham eagle edna bay fairbanks star frances kibble kenny lake gustavus haines hollis holy cross homer hyder igiugig tribal irene ingle wrangell juneau douglas kegoayah kozga nome kenai ketchikan kodiak kuskokwim bethel peninsula schools martin monsen matanuska susitna network mcgrath moose pass edgecumbe high mountain view muldoon ninilchik noel wien pole pelican petersburg samuel foss pedro sand point scott wesley gerrish girwood seward shirly jackson kake sitka skagway soldotna thorne tok tri healy tuzzy barrow unalaska elmer rasmuson southeast egan valdez whale loussac
adlc	Arkansas Digital Library Consortium	USA	public	ash flat ashley calhoun clark cleburne cleveland columbia conway craighead jonesboro caraway goldsby kohn marked tree adams poinsett crittenden crossett dallas damascus dewitt cross parkin wynne woodruff augusta cotton plant mccrory fairfield bay faulkner van buren forrest fulton mammoth springs viola garland grant greene howard dierks mineral tollette independence izard janett larry crain lafayette little river ashdown foreman winthrop lonoke malvern hot spring mississippi montgomery rock northeast corning piggott randolph rector pea ridge phillips lee monroe pike banium delight pine bluff jefferson altheimer redfield waston chapel white hall polk prairie prescott nevada camden ouachita bearden stephens saline bob herzfeld mabel boswell sevier gillham horatio garner lockesburg sharp cave evening shade hardy williford southeast stone union barton libary harper huttig norphlet smackover strong billingsley jackson memphis
adu	Aioi Nissay Dowa Insurance Labor Union	Japan	company
adventhealth	AdventHealth University	USA	college
advocatechildrens	Advocate Children's Hospital		company
advocatehealth	Advocate Health-Midwest Region		company
aenetworks	A&E Televison Networks		company
aeonhealth	Aeon Health		company	healthcare
